date,imp_kwh,exp_kwh,batt_profit,min,max,mean,std,spread
2024-09-01,20.859999666240004,64.75700003351997,0.0,-0.061380000000000004,-0.00175,-0.043791527777777776,0.01149548017947563,0.05963
2024-09-02,101.2736663674119,45.14500066799999,0.0,-0.06455,0.08345,-0.009713680555555555,0.04584811182409676,0.148
2024-09-03,170.06510804873813,93.44826377796527,15.527474989062327,-0.03572,0.27082,0.05872371527777778,0.06928692275275204,0.30654000000000003
2024-09-04,131.79233309960551,64.54700013359997,0.0,-0.0632,0.04089,-0.025042951388888887,0.025129292331277437,0.10409000000000002
2024-09-05,155.8556672675801,0.6650000334,0.0,-0.04389,0.10436,0.008052638888888889,0.03492552535374376,0.14825
2024-09-06,137.53474077964572,12.213833752794802,0.04224802375918379,-0.039189999999999996,0.17023,0.021829652777777778,0.035399263332424304,0.20942
2024-09-07,28.57299966676679,94.63899956580005,0.0,-0.09001,0.10547,0.018938125,0.05314517978567031,0.19548
2024-09-08,20.00499946606801,63.269000133599995,0.0,-0.061799999999999994,0.05809,-0.01782184027777778,0.02685109613219789,0.11989
2024-09-09,97.69278111192673,31.189003408419214,1.7735597761505817,-0.044,0.18663,0.021946076388888888,0.05146045188535578,0.23063
2024-09-10,96.12066643253196,84.73112039431942,1.9550933550458844,-0.185,0.21469,0.039706180555555554,0.06700637718359664,0.39969
2024-09-11,157.47972623435496,24.6699993654,-0.1143334012910524,-0.06455,0.13009,0.029007916666666664,0.034834904606154175,0.19464
2024-09-12,147.9663337658761,67.975000668,0.0,-0.09001,0.13977,0.018027638888888888,0.06417496449763979,0.22978
2024-09-13,111.67500040048685,22.18799959920001,0.0,-0.02105,0.13272,0.04229954861111111,0.03877697247812233,0.15377000000000002
2024-09-14,56.02299996696005,7.340000334000001,0.0,-0.061799999999999994,0.09495999999999999,0.002222951388888889,0.04379380891090038,0.15675999999999998
2024-09-15,36.49691826074958,104.43222658120261,3.6535640297684697,-0.09654,0.24331999999999998,0.0016619791666666666,0.05786389361744499,0.33986
2024-09-16,60.26566690196669,51.947999499,0.0,-0.048,0.13272,0.0316715625,0.054990184008342255,0.18072
2024-09-17,156.639238833199,130.7335174996248,15.051506966451168,-0.04692,0.28005,0.06301673611111111,0.07331571708636771,0.32697000000000004
2024-09-18,210.56641079867265,97.8430000668,-0.2793766551727236,-0.061799999999999994,0.13677,0.002510277777777778,0.049084268510935156,0.19857
2024-09-19,73.86133329939332,37.60199929859999,0.0,-0.048,0.08476,0.009412291666666668,0.03571376020388635,0.13276
2024-09-20,125.36766693375861,19.042000367400007,0.0,-0.04803,0.13227,6.465277777777802e-05,0.036867669129695704,0.18030000000000002
2024-09-21,45.038000334371986,26.703999866400007,0.0,-0.0579,0.08270999999999999,-0.01229673611111111,0.0266595360776284,0.14060999999999998
2024-09-22,19.707999766404004,65.17699963248,0.0,-0.05248,0.12897999999999998,-0.006722777777777777,0.027978018298952273,0.18145999999999998
2024-09-23,46.935000032754786,86.32949536714582,16.623132848716857,-0.04339,0.28223000000000004,0.04837045138888889,0.07870821572835,0.32562
2024-09-24,203.77742947694384,79.10733188549948,8.730098108605873,-0.039189999999999996,0.27363,0.07744111111111111,0.06098217363459716,0.31282
2024-09-25,210.32960114905163,0.0,-0.42863499665163907,0.0,0.15178999999999998,0.07391513888888888,0.030792262410724004,0.15178999999999998
2024-09-26,168.34003312875333,13.391000133600006,0.0,-0.05,0.17188,0.036182569444444444,0.05407250691273629,0.22188000000000002
2024-09-27,93.44199949925202,132.53300003339993,0.0,-0.048,0.18278,0.036273680555555556,0.06206821887865545,0.23077999999999999
2024-09-28,33.13599966635999,102.82600056780002,0.0,-0.36725,0.04683,-0.0327909375,0.04508679735392294,0.41408
2024-09-29,33.08099919986401,16.576999933200003,0.0,-0.061799999999999994,0.13366999999999998,0.0029350347222222226,0.04212692624653937,0.19546999999999998
2024-09-30,39.001333335373175,85.22624037075218,1.8859111598128393,-0.06455,0.24216,0.025230347222222223,0.06643227967229044,0.30671
2024-10-01,130.63867411926768,110.20430979252389,16.88502600329087,-0.05001,0.25764,0.044219062499999996,0.08050166086210306,0.30765
2024-10-02,198.09830805610582,114.22519147411448,2.3740523586044353,-0.09226999999999999,0.25262,0.04786027777777777,0.07013900894815374,0.34489000000000003
2024-10-03,192.17652787264493,85.70299963260003,-0.16247376570789931,-0.11206999999999999,0.07707,-0.015215,0.03902609924524422,0.18913999999999997
2024-10-04,82.32566660033477,46.461999865200006,0.0,-0.11537,0.16327,0.008483055555555556,0.0499808635404369,0.27864
2024-10-05,32.55799983237602,52.823999699400005,0.0,-0.06,0.06328,-0.009399583333333333,0.030105502162444696,0.12328
2024-10-06,19.8699999666,70.00899996648,0.0,-0.061799999999999994,0.07398,-0.023755797101449278,0.02635723127441932,0.13578
2024-10-07,72.55800020074685,3.7859998998,0.0,-0.08903,0.13,0.015347430555555557,0.04044157664579792,0.21903
2024-10-08,136.98184211331377,89.86234188503835,7.901196670571336,-0.06455,0.25462,0.04820663194444444,0.0691363604379758,0.31917
2024-10-09,177.6805852317693,129.06079031542927,5.670805757009823,-0.3301,0.26488999999999996,0.024830520833333335,0.08606395138269186,0.5949899999999999
2024-10-10,148.61716672622265,104.74999973280002,0.0,-0.36311,0.13677,-0.0030797916666666664,0.05449560131171857,0.49988
2024-10-11,75.4363335663893,74.756999802,0.0,-0.06455,0.13677,0.015331111111111113,0.0534245044144713,0.20132
2024-10-12,32.38099983286799,115.69599996312002,0.0,-0.97105,0.1564,-0.010365208333333332,0.12785590385460927,1.12745
2024-10-13,19.985666766711994,173.23568364155273,9.186354230517683,-0.37733999999999995,0.26959,0.03052517361111111,0.08639512886302647,0.64693
2024-10-14,119.67327422908194,88.43800026719997,-0.09613344745902924,-0.048,0.13677,0.02238138888888889,0.05449652980175528,0.18477
2024-10-15,67.15776613231473,89.35399983299999,0.0,-0.092,0.12411,0.013762430555555557,0.04118337230425116,0.21611
2024-10-16,113.08700030054669,177.7841229926624,26.2831530396795,-0.11023999999999999,0.27579000000000004,0.034935069444444446,0.08633437873704504,0.38603000000000004
2024-10-17,233.97951684182237,65.03644357342151,3.0287693396344473,-0.061799999999999994,0.28916000000000003,0.03431038194444444,0.05838518963609826,0.35096000000000005
2024-10-18,178.5124481117262,53.3679289892342,6.774155333372174,-0.04803,0.29214,0.01581451388888889,0.05459721319137647,0.34017000000000003
2024-10-19,36.68199976630801,107.25400046880003,0.0,-0.272,0.14859,0.0056580208333333335,0.06556114265617126,0.42059
2024-10-20,22.49000013387719,105.60810134333373,0.15565935916820428,-0.45089,0.21921000000000002,0.018547569444444446,0.07739138562967829,0.6701
2024-10-21,31.421666599705205,179.3576605285165,13.041624173192464,-0.24627000000000002,0.26293,0.0393878125,0.09033683168735591,0.5092
2024-10-22,208.02547089948652,92.4902599295191,0.19829477767745696,-0.061380000000000004,0.22080000000000002,0.0299578125,0.07211142110708393,0.28218000000000004
2024-10-23,187.50142989290654,101.96215973583321,7.292917494848224,-0.9634299999999999,0.44060000000000005,0.03087979166666667,0.132244649931468,1.40403
2024-10-24,109.84999990018399,81.31299986879999,0.0,-0.45727999999999996,0.13272,0.008349305555555554,0.07548646184228854,0.59
2024-10-25,37.707000100396016,125.03570342159574,0.46613360003735177,-0.39435000000000003,0.2757,0.04991125,0.08120876112495179,0.67005
2024-10-26,35.316447745648276,152.74421185774742,0.8083289493742425,-0.44006,0.27663,0.02736545138888889,0.11041591598240974,0.71669
2024-10-27,25.884379397095035,76.50300020051996,-0.03167744231920732,-0.40841000000000005,0.11183,-0.0005132638888888886,0.06328421750427769,0.52024
2024-10-28,64.73385774328442,114.16902700490563,0.0,-1.0,0.18430000000000002,-0.00739892361111111,0.11556565761846625,1.1843
2024-10-29,120.88916241092984,124.43932345746114,5.248634127713685,-0.44357,0.26197000000000004,0.04782861111111111,0.10295367397100011,0.7055400000000001
2024-10-30,114.5732148772581,121.92989807337592,0.6809638152248974,-0.1585,0.24049,0.052468402777777784,0.08929408635161852,0.39899
2024-10-31,106.72694182062337,90.61480836124674,0.10332258990549431,-0.06455,0.22383,0.03526545138888889,0.07115984398740079,0.28837999999999997
2024-11-01,104.71823180869337,94.68899989859996,-0.009226541658997764,-0.14,0.13,0.015316666666666666,0.06156255832449173,0.27
2024-11-02,32.884999732908014,119.50899976739996,0.0,-0.38541000000000003,0.09376999999999999,-0.034887534722222224,0.07314590475483213,0.47918000000000005
2024-11-03,22.670000033519997,166.32899960148004,0.0,-0.09555,0.11721,0.0008481250000000005,0.05398063380914755,0.21276
2024-11-04,75.81756686703665,132.91748392209118,5.317263673421758,-0.11023999999999999,0.2801,0.059832534722222226,0.08127204237589952,0.39034
2024-11-05,94.52060036315525,148.53834316249848,2.2112643136794854,-0.11564,0.24743,0.0661001388888889,0.07272262947399047,0.36307
2024-11-06,191.89807878555885,56.1327553209371,5.113152126268755,-0.05048,0.59576,0.020732395833333334,0.07487242350530038,0.6462399999999999
2024-11-07,33.532232555417096,92.21404324829429,0.024277425997997187,-0.45899,0.21559,0.04593152777777778,0.07700686871775474,0.67458
2024-11-08,107.93305759335672,88.54935667493663,0.22268594047322238,-0.11566,0.2995,0.009964097222222223,0.07899648092469239,0.41516
2024-11-09,27.53365626618809,86.92615520732295,0.680023928771184,-0.039549999999999995,0.28042,0.08673878472222223,0.08139969220795196,0.31997
2024-11-10,24.334128200286493,150.97000026839996,0.0,-0.39693,0.20688,0.031192430555555557,0.09931417532183301,0.60381
2024-11-11,108.55441891656127,126.89136634019944,0.25538217177882916,-0.45592,0.27493,0.07278652777777778,0.08391459183238895,0.73085
2024-11-12,67.28547080367039,85.41477463489764,5.20906974059038,0.038130000000000004,0.29542,0.13152631944444443,0.042552783590317084,0.25729
2024-11-13,229.212842844078,39.53115829793776,-0.09384759803045314,-0.99754,0.24741,0.05292118055555556,0.11243551151115756,1.24495
2024-11-14,84.3073393195883,111.66134517844904,0.21321836983828835,-0.06455,0.24771,0.08243423611111111,0.07087129757751273,0.31226
2024-11-15,45.476864287965675,142.04190822314686,0.0,-1.0,0.19035,0.05427892361111111,0.11947143900764987,1.19035
2024-11-16,26.94499983313203,129.35600003339997,0.0,-0.10501,0.17023,0.004980381944444445,0.0725389539723838,0.27524
2024-11-17,25.80899990017079,55.41499973400001,0.0,-1.0,0.09601000000000001,-0.017642638888888888,0.1193638562537738,1.09601
2024-11-18,105.0407758848134,97.76739601796562,3.1375709286736324,-0.99324,0.25691,0.003881215277777778,0.08916568871970548,1.25015
2024-11-19,121.48310836545313,130.2120355691683,-0.08703839747297659,-0.38133999999999996,0.21422,0.04895336805555556,0.09006482724922092,0.59556
2024-11-20,75.960666800308,126.37161869156692,0.15113639254501338,-0.09001,0.22337,0.04930559027777778,0.07511243419289557,0.31338
2024-11-21,78.37458007567099,168.93103851741273,10.527127474968992,-0.04025,0.29477,0.09718548611111111,0.07571042458409305,0.33502
2024-11-22,123.2431791883422,120.23578089094882,15.711492560579009,-0.053689999999999995,0.31527999999999995,0.10757236111111111,0.08754004428824333,0.36896999999999996
2024-11-23,98.86202004237138,47.45600003399999,0.6204344900034574,-0.029920000000000002,0.21206,0.07204774305555556,0.06860810968899751,0.24198
2024-11-24,28.644999966251998,17.478011103488182,0.4791811783244343,0.01242,0.27313,0.13871899305555557,0.032082096541446975,0.26071
2024-11-25,66.13393100953547,10.862232012791678,3.9936295758715294,0.0,0.39888999999999997,0.16782854166666666,0.042484371120489556,0.39888999999999997
2024-11-26,110.88650261188258,58.96323791294996,3.2628798697375334,0.0,0.39824,0.1407414236111111,0.04819954487894773,0.39824
2024-11-27,194.7265874259236,63.05827077395425,-0.05697705493595072,-0.061799999999999994,0.27082,0.06719583333333333,0.0934611020618004,0.33262
2024-11-28,130.3326750066594,110.64100070279997,-0.036007556633676906,-0.029920000000000002,0.19116999999999998,0.08648399305555556,0.05609518366438792,0.22108999999999998
2024-11-29,53.19544295864098,116.01865087713408,0.7167754211261709,-0.0345,0.2995,0.121628125,0.0634313756596443,0.33399999999999996
2024-11-30,37.00064119513338,13.967032319366727,1.4428052766227235,0.0,0.31581,0.13777395833333334,0.05553629782954117,0.31581
2024-12-01,22.492999733412006,86.89099973291991,0.0,-0.06455,0.24312999999999999,0.041204826388888886,0.08792781250048005,0.30767999999999995
2024-12-02,42.1420002669812,141.2844555720491,7.492779256443553,-0.06455,0.2995,0.08828809027777779,0.08264243288869137,0.36405
2024-12-03,200.0481627315144,40.99300043399998,0.8873357825557832,-0.0632,0.22159,0.0714742361111111,0.07456881838525155,0.28479
2024-12-04,32.534666933026706,154.98300070499988,0.0,-0.01872,0.22412,0.0935329861111111,0.05096965879015157,0.24284
